Mes,Año,QTs_Ganadas,QTs_Perdidas,Revenue_USD,Revenue_COP,Margen_Promedio_Pct,Tiempo_Promedio_Cierre_Dias,Notas,QTs_Recibidas,Tasa_Conversion_Pct,NPS_Promedio,Ops_Activas
Junio,2026,11,10,$59750.00,$255730000,,,"Datos reales Jun-2026: 27 QTs recibidas, 11 GANADAS ($59,750 USD), 10 PERDIDAS, 6 en curso. TRM usado: $4,280. Actualizado por EASY OS 2026-06-19.",27,40.74,,
2026-07,2026,,,,,,,Registro preparado por EASY OS — pendiente cierre de mes.,,,,
2026-08,2026,,,,,,,Registro preparado por EASY OS — pendiente cierre de mes.,,,,
2026-09,2026,,,,,,,Registro preparado por EASY OS — pendiente cierre de mes.,,,,
2026-10,2026,,,,,,,Registro preparado por EASY OS — pendiente cierre de mes.,,,,
2026-11,2026,,,,,,,Registro preparado por EASY OS — pendiente cierre de mes.,,,,
2026-06,2026,,,,,,,,,,,
2026-12,2026,,,,,,,,,,,
2027-01,2027,,,,,,,,,,,
2027-02,2027,,,,,,,,,,,
2027-03,2027,,,,,,,,,,,
2027-04,2027,,,,,,,,,,,
2027-05,2027,,,,,,,,,,,
2027-06,2027,,,,,,,,,,,
2027-07,2027,,,,,,,,,,,
2027-08,2027,,,,,,,,,,,
2027-09,2027,,,,,,,,,,,
2027-10,2027,,,,,,,,,,,
2027-11,2027,,,,,,,,,,,
2027-12,2027,,,,,,,,,,,
