Mes,Meta_Ingresos_USD,Meta_Ingresos_COP,Meta_Cotizaciones,Meta_Cierres,Meta_Prospectos_Nuevos,Real_Ingresos_USD,Real_Cotizaciones,Real_Cierres,Real_Prospectos,Notas
2026-06,13164.00,$55950000,15,3,10,59750.00,27,11,0,"Meta inicial Junio 2026. Corregido por EASY OS 2026-06-21: Real_Ingresos_USD $5,500 → $59,750 (11 QTs GANADAS), Real_Cierres 1 → 11, Real_Cotizaciones 0 → 27. El valor inicial solo incluía la primera QT del setup del sistema."
2026-07,16000.00,$68000000,18,4,15,0.00,0,0,0,
2026-08,20000.00,$85000000,22,5,15,0.00,0,0,0,
2026-09,25000.00,$106250000,25,6,20,0.00,0,0,0,
2026-10,30000.00,$127500000,28,7,20,0.00,0,0,0,
2026-11,35000.00,$148750000,30,8,25,0.00,0,0,0,
2026-12,38000.00,,18,9,5,,,,,
2027-01,40000.00,,18,9,6,,,,,
2027-02,42000.00,,20,10,6,,,,,
2027-03,45000.00,,20,10,6,,,,,
2027-04,48000.00,,22,11,7,,,,,
2027-05,50000.00,,22,11,7,,,,,
2027-06,52000.00,,24,12,7,,,,,
2027-07,55000.00,,24,12,8,,,,,
2027-08,58000.00,,26,13,8,,,,,
2027-09,60000.00,,26,13,8,,,,,
2027-10,63000.00,,28,14,9,,,,,
2027-11,65000.00,,28,14,9,,,,,
2027-12,68000.00,,30,15,9,,,,,
