Tarifa ID,Servicio,Modo,Unidad,Origen,Destino,Concepto,Moneda,Valor,Tipo tarifa,Vigencia desde,Vigencia hasta,Fuente,Notas,Proveedor,Vigente hoy
TEST-TRF-90001,FLETE INTERNACIONAL,MARITIMO,40HC,Shanghai (SIMULADO),Buenaventura (SIMULADO),FCL 40HC Shanghai→Cartagena - TEST (actualizado),USD,2400.00,TARIFARIO QUINCENAL,2026-06-19,2026-12-31,Mercado spot Jun-2026,"TEST - simulado para Ruta 4, tarifario quincenal por vencer en 3 dias.",,SI
TEST-TRF-90002,ALMACENAMIENTO,MARITIMO,NA,Bogota (SIMULADO),Bogota (SIMULADO),THC destino / Handling - TEST (actualizado),USD,180.00,TARIFARIO MENSUAL,2026-06-19,2026-12-31,Mercado spot Jun-2026,"TEST - simulado para Ruta 4, tarifario mensual por vencer en 6 dias. Confirma que la Ruta 4 funciona igual para QUINCENAL y MENSUAL, ya que depende solo de Vigencia hasta.",,SI
TAR-MAR-001,FLETE INTERNACIONAL,MARITIMO,20STD,"Shanghai, China","Buenaventura, Colombia",FCL 20' incluye BAF y THC destino,USD,2100.00,SPOT,2026-06-01,2026-12-31,Pacific Carriers S.A.,"Tránsito 28 días. Incluye BAF, CAF. No incluye THC origen.",Pacific Carriers S.A.,SI
TAR-MAR-002,FLETE INTERNACIONAL,MARITIMO,40STD,"Shenzhen, China","Cartagena, Colombia",FCL 40' all-in,USD,3800.00,TARIFARIO MENSUAL,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 30 días. Tarifa all-in incluye recargos.,Pacific Carriers S.A.,SI
TAR-MAR-003,FLETE INTERNACIONAL,MARITIMO,LCL,"Guangzhou, China","Buenaventura, Colombia","LCL por CBM, mínimo 5 CBM",USD,85.00,TARIFARIO QUINCENAL,2026-06-01,2026-12-31,Pacific Carriers S.A.,"Tránsito 25 días. Tarifa por CBM, mínimo 5 CBM. No incluye aduana destino.",Pacific Carriers S.A.,SI
TAR-AER-001,FLETE INTERNACIONAL,AEREO,AIR,"Shanghai PVG, China","Bogotá BOG, Colombia","Tarifa aérea por kg, mínimo 100 kg",USD,4.50,SPOT,2026-06-01,2026-12-31,Cargo Air Colombia,"Tránsito 5 días. Tarifa por kg chargeable weight, mínimo 100 kg. FSC incluido.",Cargo Air Colombia,SI
TAR-MAR-004,FLETE INTERNACIONAL,MARITIMO,20STD,"Miami, USA","Barranquilla, Colombia",FCL 20' spot,USD,1200.00,SPOT,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 7 días. Ruta directa Miami-Barranquilla.,Pacific Carriers S.A.,SI
TAR-MAR-005,FLETE INTERNACIONAL,MARITIMO,40STD,"New York, USA","Buenaventura, Colombia",FCL 40' tarifa mensual,USD,2200.00,TARIFARIO MENSUAL,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 15 días.,Pacific Carriers S.A.,SI
TAR-MAR-006,FLETE INTERNACIONAL,MARITIMO,LCL,"Los Angeles, USA","Cartagena, Colombia",LCL por CBM desde LA,USD,95.00,SPOT,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 20 días.,Pacific Carriers S.A.,SI
TAR-AER-002,FLETE INTERNACIONAL,AEREO,AIR,"Madrid MAD, España","Bogotá BOG, Colombia","Tarifa aérea Madrid-Bogotá, mínimo 50 kg",USD,3.80,TARIFARIO QUINCENAL,2026-06-01,2026-12-31,Cargo Air Colombia,Tránsito 3 días. Mínimo 50 kg chargeable.,Cargo Air Colombia,SI
TAR-MAR-007,FLETE INTERNACIONAL,MARITIMO,20STD,"Rotterdam, Países Bajos","Buenaventura, Colombia",FCL 20' spot Europa-Colombia,USD,2800.00,SPOT,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 22 días.,Pacific Carriers S.A.,SI
TAR-MAR-008,FLETE INTERNACIONAL,MARITIMO,40STD,"Hamburg, Alemania","Cartagena, Colombia",FCL 40' tarifa mensual Europa-Colombia,USD,3200.00,TARIFARIO MENSUAL,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 24 días.,Pacific Carriers S.A.,SI
TAR-MAR-009,FLETE INTERNACIONAL,MARITIMO,LCL,"Mumbai, India","Buenaventura, Colombia",LCL por CBM desde Mumbai,USD,110.00,SPOT,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 32 días. Ruta con escala.,Pacific Carriers S.A.,SI
TAR-AER-003,FLETE INTERNACIONAL,AEREO,AIR,"Guangzhou CAN, China","Bogotá BOG, Colombia","Tarifa aérea Guangzhou-Bogotá, mínimo 100 kg",USD,5.20,SPOT,2026-06-01,2026-12-31,Cargo Air Colombia,Tránsito 6 días. Mínimo 100 kg.,Cargo Air Colombia,SI
TAR-MAR-010,FLETE INTERNACIONAL,MARITIMO,20STD,"Buenaventura, Colombia","Miami, USA",FCL 20' exportación Colombia-USA,USD,1500.00,SPOT,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 10 días. Tarifa de exportación.,Pacific Carriers S.A.,SI
TAR-MAR-011,FLETE INTERNACIONAL,MARITIMO,40STD,"Buenaventura, Colombia","Rotterdam, Países Bajos",FCL 40' exportación café Colombia-Europa,USD,2400.00,TARIFARIO MENSUAL,2026-06-01,2026-12-31,Pacific Carriers S.A.,Tránsito 20 días. Exportación café. Requiere fumigación.,Pacific Carriers S.A.,SI
TAR-TER-001,TRANSPORTE TERRESTRE DESTINO,TERRESTRE,CARGA SUELTA,"Bogotá D.C., Colombia","Buenaventura, Colombia",Camión completo contenedor 20' o 40',USD,850.00,TARIFARIO MENSUAL,2026-06-01,2026-12-31,Translogis Colombia SAS,Camión completo. Aplica para contenedor 20' o 40'. Incluye conductor y tráctoremolque.,Translogis Colombia SAS,SI
